RegionName;region;population;Source
Santa Catarina;SC;7252502;
Alto Vale Do Itajai;AVI;1077659
Foz Do Rio Itajai;FVI;698912
Grande Florianopolis;GFL;1189947
Grande Oeste;GOE;792895
Meio Oeste E Serra Catarinense;MOS;916252
Planalto Norte E Nordeste;PNN;1400128
Sul;SUL;999701
